Reviewer ID,Reviewer Accuracy
z_assessor_2028,1.0
z_assessor_2031,1.0
z_assessor_2040,0.75
z_assessor_2044,0.0
z_assessor_2047,0.75
z_assessor_2048,0.3333333333333333
z_assessor_2060,1.0
z_assessor_2061,0.3333333333333333
z_assessor_2070,1.0
z_assessor_2073,0.5714285714285714
z_assessor_2076,1.0
z_assessor_2088,1.0
z_assessor_2093,0.0
z_assessor_2098,0.5
z_assessor_2102,1.0
z_assessor_2108,0.5555555555555556
z_assessor_2110,0.6666666666666666
z_assessor_2113,0.5
z_assessor_2114,1.0
z_assessor_2118,1.0
z_assessor_2123,0.6363636363636364
z_assessor_2127,1.0
z_assessor_2129,0.8
z_assessor_2133,0.0
z_assessor_2136,0.0
z_assessor_2137,1.0
z_assessor_2138,0.5
z_assessor_2142,0.7
z_assessor_2146,0.6
z_assessor_2148,0.5
z_assessor_2151,1.0
z_assessor_2169,0.5714285714285714
z_assessor_2170,1.0
z_assessor_2174,0.75
z_assessor_2180,0.0
z_assessor_2186,0.3333333333333333
z_assessor_2192,0.7142857142857143
z_assessor_2194,1.0
z_assessor_2207,1.0
z_assessor_2209,1.0
z_assessor_2215,0.6
z_assessor_2216,1.0
z_assessor_2217,0.75
z_assessor_2219,0.6666666666666666
z_assessor_2222,0.6
z_assessor_2228,0.6666666666666666
z_assessor_2232,1.0
z_assessor_2233,0.8888888888888888
z_assessor_2237,0.5
z_assessor_2241,0.0
z_assessor_2245,1.0
z_assessor_2251,1.0
z_assessor_2252,0.6666666666666666
z_assessor_2255,0.75
z_assessor_2256,1.0
z_assessor_2257,0.8571428571428571
z_assessor_2259,0.7586206896551724
z_assessor_2261,0.6666666666666666
z_assessor_2264,0.3333333333333333
z_assessor_2274,0.5
z_assessor_2277,1.0
z_assessor_2280,1.0
z_assessor_2284,0.0
z_assessor_2289,0.0
z_assessor_2290,0.5
z_assessor_2292,0.5833333333333334
z_assessor_2298,0.3333333333333333
z_assessor_2299,0.6111111111111112
z_assessor_2301,0.6666666666666666
z_assessor_2306,0.8333333333333334
z_assessor_2307,0.0
z_assessor_2312,0.5714285714285714
z_assessor_2317,0.5
z_assessor_2318,0.0
z_assessor_2322,0.5
z_assessor_2323,1.0
z_assessor_2324,0.75
z_assessor_2325,1.0
z_assessor_2327,1.0
z_assessor_2328,0.0
